Date,Year,Event,Event description,Period_ID,SongID,EventID
1972-04-10 00:00:00.000,"- 1972","Ancient texts discovered in China","The ancient Yinqeshan Han tombs were accidentally discovered by Chinese construction workers. They contained a treasure trove of well-preserved 2,000-year-old bamboo writing tablets – including chapters from Sun Tzu’s 'The Art of War'. The Art of War consists of 13 chapters, each of which highlights a different aspect of warfare.",1,124,4
2003-03-20 00:00:00.000,"- 2003","Launch of Operation Iraqi Freedom","The US codename for the invasion of Iraq by the USA and allies, with the aim of ending dictator Saddam Hussein’s regime. The invasion was swift and the capital Baghdad fell within 20 days, but US military presence in Iraq would continue until 2011.",9,138,31
1945-04-16 00:00:00.000,"- 1945","Battle of Berlin begins","The Battle of Berlin was the last major offensive of World War II in Europe and saw the Soviet Army capture the German capital. Hitler and several senior Nazis would commit suicide before the battle was over, and Germany’s surrender would follow.",7,144,38
1945-04-12 00:00:00.000,"- 1945","Harry Truman sworn in as US President","Just hours after Harry Truman was sworn in as the US President, he was led to a meeting and informed of the real purpose of the secret Manhattan Project. Using electromagnetic separation, the nation's top scientists had uncovered a way to create weapons of mass destruction.",7,145,34
1945-04-30 00:00:00.000,"- 1945","Death of Hitler","There was no glorious ending for the man responsible for the bloodiest war in human history. With the German capital Berlin crippled by a massive Soviet attack and on the verge of falling, Hitler retired to his study and shot himself.",6,146,43
2001-09-11 00:00:00.000,"- 2001","9/11 terror attacks occur","On September 11, 2001, a group of Arab Jihadists led by Osama bin Laden hijacked four commercial airliners and crashed them into the World Trade Center and the Pentagon. The act of terrorism resulted in the death of 2,996 people.",9,147,88
1995-07-11 00:00:00.000,"- 1995","Srebrenica massacre begins","The Srebrenica Massacre began on July 11, 1995, and concluded on July 22, 1995. Over 8,000 Bosniak Muslim males between the ages of 12 and 77 were captured and brutally executed. It was considered the bloodiest massacre and crime against humanity Europe had seen since the end of WW2.",9,148,74
1914-09-15 00:00:00.000,"- 1914","First trenches dug on the Western Front","The First World War kicked off on July 28, 1914, and ended on November 11, 1918. This war marked the start of trench warfare. Due to the heavy artillery and machine guns used on the Western Front, armies were forced to dig trenches to protect themselves.",5,149,45
1982-04-02 00:00:00.000,"- 1982","Falklands War begins","The 1982 Falklands War was a two month conflict between Argentina and the United Kingdom over the Falkland Islands in the South Atlantic. The UK retained control of the islands, but both countries continue to claim sovereignty over them to this day.",8,150,33
1945-10-24 00:00:00.000,"- 1945","United Nations officially founded","United Nations Day is a global day of celebration, marking the day representatives from 50 countries met to sign the charter that established the UN. Sabaton’s song A Light in the Black is about peacekeeping – just one part of the UN’s international work.",8,151,94
